NOM_COURT;NOM_LONG
aCHLORDECONE;Année retenue pour la moyenne du paramètre : Chlordécone de la station (uniquement en DOM)
CONF_TYPFR;Indique si le TYPEFR est conforme ou vide
TABME;Libellé des paramètres ou élèments de qualité analysés
NONQUALIFIE;Station ou masse d'eau non qualifié : nombre
TRESBON;Station ou masse d'eau en très bon état : nombre
BON;Station ou masse d'eau en bon état : nombre
MOYEN;Station ou masse d'eau en état moyen : nombre
MEDIOCRE;Station ou masse d'eau en état médiocre : nombre
MAUVAIS;Station ou masse d'eau en état mauvais : nombre
OUI;"Station ou masse d'eau ayant une condition ""oui"" : nombre"
NON;"Station ou masse d'eau ayant une condition ""non"" : nombre"
NB_STAT_TRAITEES;Nombre de stations traitées pour l'état/élèment de qualité/paramètre considéré
NIVELEVE;Masse d'eau ayant un niveau de confiance élevé : nombre
NIVMOYEN;Masse d'eau ayant un niveau de confiance moyen : nombre
NIVFAIBLE;Masse d'eau ayant un niveau de confiance faible : nombre
%NONQUALIFIE;Station ou masse d'eau non qualifié : pourcentage
%TRESBON;Station ou masse d'eau en très bon état : pourcentage
%BON;Station ou masse d'eau en bon état : pourcentage
%MOYEN;Station ou masse d'eau en état moyen : pourcentage
%MEDIOCRE;Station ou masse d'eau en état médiocre : pourcentage
%MAUVAIS;Station ou masse d'eau en état mauvais : pourcentage
%OUI;"Station ou masse d'eau ayant une condition ""oui"" : pourcentage"
%NON;"Station ou masse d'eau ayant une condition ""non"" : pourcentage"
%NIVELEVE;Masse d'eau ayant un niveau de confiance élevé : pourcentage
%NIVMOYEN;Masse d'eau ayant un niveau de confiance moyen : pourcentage
%NIVFAIBLE;Masse d'eau ayant un niveau de confiance faible : pourcentage
NOMSTATION;
TYPEPE;Type de plan d'eau
NOMME;Nom de la masse d'eau
VOLUME;Volume du plan d'eau
STRATIFIE;Plan d'eau stratifié (oui/non)
MARNAGE;Marnage (oui/non)
MARNAGEM;Marnage (en m)
TPSSEJOUR;Temps de séjour (= temps de résidence)
FIABILITSEJOUR;Fiabilité du teamps de séjour
CODENATPE;Code national
TYPECUVETTE;Type de cuvette
EXCEPT_TRANS;Exceptiont typologique sur la transparence
LIBELETYPE;
FINALITE;
ZMAX;Profondeur Maximale
ZMOY;Profondeur Moyenne
