NOM_COURT;NOM_LONG
iCOD;Indice (0-100) du paramètre : COD de la station
iPO43;Indice (0-100) du paramètre : PO43- de la station
iPHOS;Indice (0-100) du paramètre : Phosphore total de la station
iNH4;Indice (0-100) du paramètre : NH4+ de la station
iNO2;Indice (0-100) du paramètre : NO2- de la station
iNO3;Indice (0-100) du paramètre : NO3- de la station
iTEMPE;Indice (0-100) du paramètre : Température de la station
iPHMIN;Indice (0-100) du paramètre : pH min de la station
iPHMAX;Indice (0-100) du paramètre : pH max de la station
fIBD;Fréquence de prélèvement de l'IBD de la station
fIBG;Fréquence de prélèvement de l'IBG de la station
fIBGA;Fréquence de prélèvement de l'IBGA de la station
fIPR;Fréquence de prélèvement de l'IPR de la station
fIBMR;Fréquence de prélèvement de l'IBMR de la station
fO2;Fréquence de prélèvement du paramètre : O2 de la station
fSATO2;Fréquence de prélèvement du paramètre : Taux de saturation en O2 dissous de la station
fDBO5;Fréquence de prélèvement du paramètre : DBO5 de la station
fCOD;Fréquence de prélèvement du paramètre : COD de la station
fPO43;Fréquence de prélèvement du paramètre : PO43- de la station
fPHOS;Fréquence de prélèvement du paramètre : Phosphore total de la station
fNH4;Fréquence de prélèvement du paramètre : NH4+ de la station
fNO2;Fréquence de prélèvement du paramètre : NO2- de la station
fNO3;Fréquence de prélèvement du paramètre : NO3- de la station
fTEMPE;Fréquence de prélèvement du paramètre : Température de la station
fPHMIN;Fréquence de prélèvement du paramètre : pH min de la station
fPHMAX;Fréquence de prélèvement du paramètre : pH max de la station
fARSENIC;Fréquence de prélèvement du paramètre : Arsenic dissous de la station
fCHROME;Fréquence de prélèvement du paramètre : Chrome dissous de la station
fCUIVRE;Fréquence de prélèvement du paramètre : Cuivre dissous de la station
fZINC;Fréquence de prélèvement du paramètre : Zinc dissous de la station
fCHLORTOLURON;Fréquence de prélèvement du paramètre : Chlortoluron de la station
fOXADIAZON;Fréquence de prélèvement du paramètre : Oxadiazon de la station
f24D;Fréquence de prélèvement du paramètre : 2,4 D de la station
f24MCPA;Fréquence de prélèvement du paramètre : 2,4 MCPA de la station
fMETAZACHLORE;Fréquence de prélèvement du paramètre : Metazachlore de la station
fAMINOTRIAZOLE;Fréquence de prélèvement du paramètre : Aminotriazole de la station
fNICOSULFURON;Fréquence de prélèvement du paramètre : Nicosulfuron de la station
fAMPA;Fréquence de prélèvement du paramètre : AMPA de la station
fGLYPHOSATE;Fréquence de prélèvement du paramètre : Glyphosate de la station
fBENTAZONE;Fréquence de prélèvement du paramètre : Bentazone de la station
fDIFLUFENICANIL;Fréquence de prélèvement du paramètre : Diflufenicanil de la station
fCYPRODINIL;Fréquence de prélèvement du paramètre : Cyprodinil de la station
fIMIDACLOPRIDE;Fréquence de prélèvement du paramètre : Imidaclopride de la station
fIPRODIONE;Fréquence de prélèvement du paramètre : Iprodione de la station
fAZOXYSTROBINE;Fréquence de prélèvement du paramètre : Azoxystrobine de la station
fTOLUENE;Fréquence de prélèvement du paramètre : Toluène de la station
fPHOSPHATETRIB;Fréquence de prélèvement du paramètre : Phosphate de tributyle de la station
fBIPHENILE;Fréquence de prélèvement du paramètre : Biphényle de la station
fBOSCALID;Fréquence de prélèvement du paramètre : Boscalid de la station
fMETALDEHYDE;Fréquence de prélèvement du paramètre : Métaldéhyde de la station
fTEBUCONAZOLE;Fréquence de prélèvement du paramètre :Tebuconazole de la station
fCHLORPROPHAME;Fréquence de prélèvement du paramètre : Chlorprophame de la station
fXYLENE;Fréquence de prélèvement du paramètre : Xylène de la station
fPENDIMETHALINE;Fréquence de prélèvement du paramètre : Pendiméthaline de la station
fCHLORDECONE;Fréquence de prélèvement du paramètre : Chlordécone de la station (uniquement aux Caraïbes)
fdO2;Fréquence de déclassement du paramètre : O2 de la station
fdSATO2;Fréquence de déclassement du paramètre : Taux de saturation en O2 dissous de la station
fdDBO5;Fréquence de déclassement du paramètre : DBO5 de la station
fdCOD;Fréquence de déclassement du paramètre : COD de la station
fdPO43;Fréquence de déclassement du paramètre : PO43- de la station
fdPHOS;Fréquence de déclassement du paramètre : Phosphore total de la station
fdNH4;Fréquence de déclassement du paramètre : NH4+ de la station
fdNO2;Fréquence de déclassement du paramètre : NO2- de la station
fdNO3;Fréquence de déclassement du paramètre : NO3- de la station
fdTEMPE;Fréquence de déclassement du paramètre : Température de la station
fdPHMIN;Fréquence de déclassement du paramètre : pH min de la station
fdPHMAX;Fréquence de déclassement du paramètre : pH max de la station
aARSENIC;Année retenue pour la moyenne du paramètre : Arsenic dissous de la station
aCHROME;Année retenue pour la moyenne du paramètre : Chrome dissous de la station
aCUIVRE;Année retenue pour la moyenne du paramètre : Cuivre dissous de la station
aZINC;Année retenue pour la moyenne du paramètre : Zinc dissous de la station
aCHLORTOLURON;Année retenue pour la moyenne du paramètre : Chlortoluron de la station
aOXADIAZON;Année retenue pour la moyenne du paramètre : Oxadiazon de la station
aLINURON;Année retenue pour la moyenne du paramètre : Linuron de la station
a24D;Année retenue pour la moyenne du paramètre : 2,4 D de la station
a24MCPA;Année retenue pour la moyenne du paramètre : 2,4 MCPA de la station
aMETAZACHLORE;Année retenue pour la moyenne du paramètre : Metazachlore de la station
aAMINOTRIAZOLE;Année retenue pour la moyenne du paramètre : Aminotriazole de la station
aNICOSULFURON;Année retenue pour la moyenne du paramètre : Nicosulfuron de la station
aAMPA;Année retenue pour la moyenne du paramètre : AMPA de la station
aGLYPHOSATE;Année retenue pour la moyenne du paramètre : Glyphosate de la station
aBENTAZONE;Année retenue pour la moyenne du paramètre : Bentazone de la station
aDIFLUFENICANIL;Année retenue pour la moyenne du paramètre : Diflufenicanil de la station
aCYPRODINIL;Année retenue pour la moyenne du paramètre : Cyprodinil de la station
aIMIDACLOPRIDE;Année retenue pour la moyenne du paramètre : Imidaclopride de la station
aIPRODIONE;Année retenue pour la moyenne du paramètre : Iprodione de la station
aAZOXYSTROBINE;Année retenue pour la moyenne du paramètre : Azoxystrobine de la station
aTOLUENE;Année retenue pour la moyenne du paramètre : Toluène de la station
aPHOSPHATETRIB;Année retenue pour la moyenne du paramètre : Phosphate de tributyle de la station
aBIPHENILE;Année retenue pour la moyenne du paramètre : Biphényle de la station
aBOSCALID;Année retenue pour la moyenne du paramètre : Boscalid de la station
aMETALDEHYDE;Année retenue pour la moyenne du paramètre : Métaldéhyde de la station
aTEBUCONAZOLE;Année retenue pour la moyenne du paramètre :Tebuconazole de la station
aCHLORPROPHAME;Année retenue pour la moyenne du paramètre : Chlorprophame de la station
aXYLENE;Année retenue pour la moyenne du paramètre : Xylène de la station
aPENDIMETHALINE;Année retenue pour la moyenne du paramètre : Pendiméthaline de la station
aCHLORDECONE;Année retenue pour la moyenne du paramètre : Chlordécone de la station (uniquement en DOM)
p_o2;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : O2 de la station
p_sato2;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : Taux de saturation en O2 dissous de la station
p_dbo5;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : DBO5 de la station
p_cod;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : COD de la station
p_po43;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : PO43- de la station
p_phos;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : Phosphore total de la station
p_nh4;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : NH4+ de la station
p_no2;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : NO2- de la station
p_no3;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : NO3- de la station
p_tempe;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : Température de la station
p_phmin;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : pH min de la station
p_phmax;Pourcentage de prélèvements qui donne la même classe de qualitéparamètre : pH max de la station
c_o2;Classe de fiabilitéparamètre : O2 de la station
c_sato2;Classe de fiabilitéparamètre : Taux de saturation en O2 dissous de la station
c_dbo5;Classe de fiabilitéparamètre : DBO5 de la station
c_cod;Classe de fiabilitéparamètre : COD de la station
c_po43;Classe de fiabilitéparamètre : PO43- de la station
c_phos;Classe de fiabilitéparamètre : Phosphore total de la station
c_nh4;Classe de fiabilitéparamètre : NH4+ de la station
c_no2;Classe de fiabilitéparamètre : NO2- de la station
c_no3;Classe de fiabilitéparamètre : NO3- de la station
c_tempe;Classe de fiabilitéparamètre : Température de la station
c_phmin;Classe de fiabilitéparamètre : pH min de la station
c_phmax;Classe de fiabilitéparamètre : pH max de la station
CONF_TYPFR;Indique si le TYPEFR est conforme ou vide
TABME;Libellé des paramètres ou élèments de qualité analysés
NONQUALIFIE;Station ou masse d'eau non qualifié : nombre
TRESBON;Station ou masse d'eau en très bon état : nombre
BON;Station ou masse d'eau en bon état : nombre
MOYEN;Station ou masse d'eau en état moyen : nombre
MEDIOCRE;Station ou masse d'eau en état médiocre : nombre
MAUVAIS;Station ou masse d'eau en état mauvais : nombre
OUI;"Station ou masse d'eau ayant une condition ""oui"" : nombre"
NON;"Station ou masse d'eau ayant une condition ""non"" : nombre"
NB_STAT_TRAITEES;Nombre de stations traitées pour l'état/élèment de qualité/paramètre considéré
NIVELEVE;Masse d'eau ayant un niveau de confiance élevé : nombre
NIVMOYEN;Masse d'eau ayant un niveau de confiance moyen : nombre
NIVFAIBLE;Masse d'eau ayant un niveau de confiance faible : nombre
%NONQUALIFIE;Station ou masse d'eau non qualifié : pourcentage
%TRESBON;Station ou masse d'eau en très bon état : pourcentage
%BON;Station ou masse d'eau en bon état : pourcentage
%MOYEN;Station ou masse d'eau en état moyen : pourcentage
%MEDIOCRE;Station ou masse d'eau en état médiocre : pourcentage
%MAUVAIS;Station ou masse d'eau en état mauvais : pourcentage
%OUI;"Station ou masse d'eau ayant une condition ""oui"" : pourcentage"
%NON;"Station ou masse d'eau ayant une condition ""non"" : pourcentage"
%NIVELEVE;Masse d'eau ayant un niveau de confiance élevé : pourcentage
%NIVMOYEN;Masse d'eau ayant un niveau de confiance moyen : pourcentage
%NIVFAIBLE;Masse d'eau ayant un niveau de confiance faible : pourcentage
NOMSTATION;Nom de la station
TYPEPE;Type de plan d'eau
NOMME;Nom de la masse d'eau
VOLUME;Volume du plan d'eau
STRATIFIE;Plan d'eau stratifié (oui/non)
MARNAGE;Marnage (oui/non)
MARNAGEM;Marnage (en m)
TPSSEJOUR;Temps de séjour (= temps de résidence)
FIABILITSEJOUR;Fiabilité du teamps de séjour
CODENATPE;Code national
TYPECUVETTE;Type de cuvette
EXCEPT_TRANS;Exceptiont typologique sur la transparence
LIBELETYPE;
FINALITE;
ZMAX;Profondeur Maximale
ZMOY;Profondeur Moyenne
